MEMBER_NO,AGE_GROUP,SEX_CCD,HM_ZPN
Z0013222301ST,20th,M,54821
Z0013257851ST,20th,M,4583
Z0014223561ST,20th,M,47827
Z0014237071ST,20th,M,13943
Z0014242601ST,20th,M,24341
Z0014249961ST,20th,M,2638
Z0014282521ST,20th,M,14061
Z0014293271ST,20th,M,22103
Z0014299391ST,20th,F,26451
Z0023287541ST,20th,F,27344
Z0024224741ST,20th,M,448527
Z0024231961ST,20th,M,16994
Z0024248271ST,20th,M,24006
Z0024260391ST,20th,M,38131
Z0024285931ST,20th,M,34098
Z0034248591ST,20th,F,33487
Z0034260971ST,20th,F,31767
Z0034289451ST,20th,F,38067
Z0043211871ST,20th,M,16321
Z0043224101ST,20th,M,15460
Z0043290391ST,20th,F,1735
Z0043290971ST,20th,F,36729
Z0053217081ST,20th,M,16902
Z0053259081ST,20th,M,2157
Z0063221411ST,20th,M,5669
Z0073229231ST,20th,M,6923
Z0073229831ST,20th,M,3730
Z0073252821ST,20th,M,14615
Z0073277961ST,20th,M,30127
Z0113214941ST,20th,M,7773
Z0113260931ST,20th,M,11931
Z0113281321ST,20th,M,28733
Z0114240461ST,20th,M,28338
Z0114253191ST,20th,M,5799
Z0114278611ST,20th,M,11696
Z0123260731ST,20th,M,5240
Z0124246371ST,20th,M,26417
Z0124292441ST,20th,M,464747
Z0124298171ST,20th,M,18139
Z0133284201ST,20th,M,13916
Z0134241631ST,20th,F,10475
Z0134251911ST,20th,F,16507
Z0143281671ST,20th,M,12791
Z0144291421ST,20th,F,18484
Z0153214731ST,20th,M,55126
Z0153231061ST,20th,M,12784
Z0154229521ST,20th,M,2468
Z0154230921ST,20th,F,4763
Z0154239321ST,20th,M,4762
Z0154243851ST,20th,F,4763
Z0154246491ST,20th,F,24287
Z0154250751ST,20th,F,4763
Z0154251591ST,20th,F,4763
Z0154258861ST,20th,F,4763
Z0154264131ST,20th,F,4763
Z0154286221ST,20th,M,3111
Z0163215841ST,20th,F,36653
Z0163243591ST,20th,M,15577
Z0163249831ST,20th,M,16361
Z0173228361ST,20th,F,1044
Z0173294641ST,20th,M,5042
Z0204210991ST,20th,F,7024
Z0213210941ST,20th,F,8211
Z0213219211ST,20th,M,15202
Z0214259981ST,20th,F,26239
Z0224282721ST,20th,F,10311
Z0233287551ST,20th,F,13999
Z0233292071ST,20th,M,7607
Z0234220591ST,20th,F,14782
Z0234242161ST,20th,F,16397
Z0243218881ST,20th,M,5053
Z0243240911ST,20th,M,7580
Z0243263991ST,20th,F,35324
Z0244229951ST,20th,F,11697
Z0244283461ST,20th,M,63097
Z0244291871ST,20th,M,5075
Z0244297701ST,20th,F,27478
Z0253217171ST,20th,M,2712
Z0253226701ST,20th,M,6284
Z0253227971ST,20th,M,471745
Z0253234781ST,20th,F,4064
Z0253242201ST,20th,F,13471
Z0253251871ST,20th,M,17706
Z0253270271ST,20th,F,5026
Z0253292641ST,20th,F,10356
Z0254242891ST,20th,F,4620
Z0254245951ST,20th,F,18324
Z0254288231ST,20th,M,36728
Z0263266751ST,20th,M,3665
Z0263291491ST,20th,F,14463
Z0263294671ST,20th,M,42687
Z0273286451ST,20th,M,44711
Z0277101961ST,20th,M,14049
Z0304230221ST,20th,M,28400
Z0304232421ST,20th,M,62295
Z0304236621ST,20th,F,407782
Z0304247161ST,20th,F,200779
Z0304254641ST,20th,M,415932
Z0304266741ST,20th,M,48102
Z0313220271ST,20th,F,7798
Z0313222051ST,20th,F,58026
Z0313225761ST,20th,M,28582
Z0313240491ST,20th,F,1629
Z0313246001ST,20th,M,2512
Z0313272971ST,20th,F,14633
Z0314216301ST,20th,M,44225
Z0314272251ST,20th,F,7634
Z0314274741ST,20th,M,350817
Z0323239921ST,20th,F,14526
Z0323241161ST,20th,F,6342
Z0324245301ST,20th,M,27383
Z0324290041ST,20th,F,2415
Z0334215061ST,20th,M,12214
Z0334257711ST,20th,M,2780
Z0334279171ST,20th,M,48117
Z0335501961ST,20th,M,35206
Z0344215831ST,20th,M,38066
Z0344229771ST,20th,F,7355
Z0344254841ST,20th,M,3303
Z0344257061ST,20th,F,10107
Z0344295201ST,20th,M,1365
Z0353223711ST,20th,F,2844
Z0353234941ST,20th,M,7365
Z0353272761ST,20th,F,6548
Z0353285831ST,20th,M,54835
Z0353289731ST,20th,F,58701
Z0353291291ST,20th,F,63333
Z0362701961ST,20th,F,10067
Z0363216831ST,20th,M,15628
Z0363219351ST,20th,F,7634
Z0373216271ST,20th,F,13935
Z0390101961ST,20th,F,5218
Z0404101961ST,20th,M,21967
Z0404234091ST,20th,M,16899
Z0404259731ST,20th,F,361727
Z0404296561ST,20th,M,21377
Z0404296671ST,20th,F,3319
Z0413256501ST,20th,F,1715
Z0413258101ST,20th,F,406776
Z0413258831ST,20th,F,6095
Z0414238461ST,20th,M,11105
Z0414274561ST,20th,F,8298
Z0414298911ST,20th,F,18337
Z0423284591ST,20th,F,12921
Z0424217931ST,20th,F,58554
Z0424270391ST,20th,F,1889
Z0424277491ST,20th,M,6288
Z0424290721ST,20th,M,16278
Z0433269011ST,20th,M,16214
Z0433290371ST,20th,F,6000
Z0433291521ST,20th,F,34827
Z0434223681ST,20th,F,3711
Z0434248341ST,20th,M,18327
Z0443246061ST,20th,M,5095
Z0443249031ST,20th,M,34093
Z0443249191ST,20th,M,5267
Z0444217191ST,20th,F,8004
Z0444288721ST,20th,M,16423
Z0453225221ST,20th,F,15500
Z0453235071ST,20th,M,28408
Z0453238291ST,20th,F,3619
Z0453258071ST,20th,M,28615
Z0453273391ST,20th,F,21054
Z0453279271ST,20th,M,28698
Z0453281461ST,20th,M,11931
Z0463255321ST,20th,F,10082
Z0504231531ST,20th,F,13194
Z0504235341ST,20th,M,28464
Z0504243621ST,20th,F,13831
Z0504246831ST,20th,F,58711
Z0504267291ST,20th,F,8316
Z0504289781ST,20th,F,22640
Z0504291661ST,20th,M,28645
Z0504299801ST,20th,F,467725
Z0514220381ST,20th,F,35263
Z0514270191ST,20th,F,11782
Z0514278111ST,20th,F,4745
Z0514291721ST,20th,M,443470
Z0523226341ST,20th,F,42917
Z0523231711ST,20th,F,5596
Z0523282641ST,20th,M,1784
Z0523287221ST,20th,M,36632
Z0524230091ST,20th,M,6284
Z0524281091ST,20th,M,11419
Z0524283391ST,20th,F,28448
Z0524285111ST,20th,M,15588
Z0524290001ST,20th,F,8703
Z0533242701ST,20th,M,3632
Z0534211101ST,20th,M,11927
Z0534222631ST,20th,M,21949
Z0534244951ST,20th,F,5044
Z0534248361ST,20th,F,25021
Z0534261171ST,20th,F,1899
Z0534264571ST,20th,M,17350
Z0534701961ST,20th,F,24453
Z0543232591ST,20th,M,10415
Z0543237381ST,20th,F,11738
Z0543249451ST,20th,M,13492
Z0543273151ST,20th,M,58553
Z0544255571ST,20th,M,42106
Z0544257141ST,20th,F,17344
Z0544268941ST,20th,M,54614
Z0553270571ST,20th,M,38186
Z0563223021ST,20th,M,48516
Z0563237361ST,20th,F,34888
Z0563247861ST,20th,F,10879
Z0563264381ST,20th,F,405907
Z0563291661ST,20th,F,28113
Z0573249501ST,20th,M,15594
Z0573293551ST,20th,M,15804
Z0604211011ST,20th,F,5048
Z0604212571ST,20th,F,16049
Z0604213571ST,20th,F,28670
Z0604215231ST,20th,F,18592
Z0604225251ST,20th,M,13530
Z0604233041ST,20th,M,44949
Z0604239671ST,20th,M,17362
Z0604256301ST,20th,F,427739
