CARD_CODE,CARD_NAME,CARD_CATEGORY,ANNUAL_FEE
1001,모두의 신세계 하나카드,CREDIT,12000
1002,MULTI ON,CREDIT,12000
1003,MULTI Living,CREDIT,12000
1004,MULTI Young,CREDIT,12000
1005,하나 국민행복카드,CREDIT,0
1006,CLUB SK (클럽SK),CREDIT,6000
1007,MULTI Any,CREDIT,12000
1008,모두의 건강,CREDIT,15000
1009,MULTI Oil,CREDIT,15000
1010,Mile 1.6 대한항공,CREDIT,45000
1011,Any PLUS (애니플러스),CREDIT,15000
1012,My Trip SKYPASS 카드,CREDIT,30000
1013,1Q Shopping+ (원큐 쇼핑플러스),CREDIT,10000
1014,My Trip AsianaClub 카드,CREDIT,30000
1015,통커 카드,CREDIT,20000
1016,CLUB Signature SKYPASS,CREDIT,150000
1017,#tag1카드 Navy (태그원카드 네이비),CREDIT,12000
1018,하나멤버스 1Q카드 내맘대로 트렌디형,CREDIT,10000
1019,하나멤버스 1Q카드 내맘대로 직장인형,CREDIT,10000
1020,하나멤버스 1Q카드 내맘대로 생활형,CREDIT,10000
1021,하나멤버스 1Q카드 내맘대로 웰빙형,CREDIT,10000
1022,하나멤버스 1Q카드 내맘대로 여행형,CREDIT,10000
1023,모두의 쇼핑,CREDIT,15000
1024,1Q Special+ (원큐 스페셜플러스),CREDIT,10000
1025,CLUB PREMIER 카드 [Travel],CREDIT,210000
1026,CLUB Primus Skypass,CREDIT,100000
1027,1Q Daily+ (원큐 데일리플러스),CREDIT,10000
1028,CLUB PREMIER 카드 [Hotel],CREDIT,210000
1029,Smart Any (스마트애니),CREDIT,5000
1030,#tag1카드 Orange (태그원카드 오렌지),CREDIT,12000
1031,하나 BC 그린카드 [전국형],CREDIT,0
1032,my pass 마패 카드,CREDIT,17000
1033,CLUB Signature Asiana Club,CREDIT,100000
1034,1Q Global VIVA (원큐 글로벌 비바),CREDIT,13000
1035,Mile 1.6 아시아나,CREDIT,45000
2001,모두의 일상 체크카드,CHECK,0
2002,T1 Young Hana 체크카드,CHECK,0
2003,모두의 건강 체크카드,CHECK,0
2004,L.PAY 하나 체크카드,CHECK,0
2005,신세계 하나 체크카드,CHECK,0
2006,시코르 체크카드,CHECK,0
2007,Young Hana 체크카드 with OKcashbag,CHECK,0
2008,K리그 축덕 Young Hana 체크카드 with OKcashbag,CHECK,0
2009,영(Young)한 당신을 위한 체크카드,CHECK,0
2010,하나멤버스 1Q 체크카드,CHECK,0
2011,하나멤버스 Mega 체크카드,CHECK,0
2012,CJ ONE 체크카드,CHECK,0
2013,해피포인트 하나 체크카드,CHECK,0
2014,윙고 장학재단 체크카드,CHECK,0
2015,청년취업카드 하나멤버스 Mega BC 체크카드,CHECK,0
2016,MULTI Any 체크카드,CHECK,0
2017,Young Hana+ 체크카드,CHECK,0
2018,리틀프렌즈 체크카드,CHECK,0
2019,카카오페이 체크카드,CHECK,0
2020,넥슨 메이플스토리 하나BC 체크카드,CHECK,0
2021,국민행복 체크카드,CHECK,0
2022,The-K Auto 체크카드,CHECK,0
2023,넥슨 던전앤파이터 체크카드,CHECK,0
